DNA in fremde Zelle Vorgänge,"Isoliert, durch RE zerschnitten, Vektor-DNA durch RE zerschnitten, Verbinden durch DNA-Ligase, einschleusen"
RE Funktion,Zerschneiden DNA an bestimmten Stellen
klebrige Ende,"DNA, die mit gleichen Enzymgeschnitten worden sind sind komplementär und können verkettet werden."
physikalische DNA-Übertragungsmethoden,"Elektroportation, Mikroinjektion, Partikelpistole, Liposome"
biologische DNA-Übertragungsmethoden,Viren + Agrobacterium
Elektroportation Übertragungsmethode,Elektrische Ladung --> Löcher in der Zellwand
Mikroinjektion Übertragungsmethode,Zellkern mit feinem Rohr durchstochen und rein injiiziert
Partikelpistole Übertragungsmethode,Goldpartikel + DNA in Zelle schiessen
Liposome Übertragungsmethode,Lipide verschmelzen mit Zellschicht
Viren Übertragungsmethode,Virus schleust DNA ein
Agrobacterium Übertragungsmethode,Durch Zellverletzung schleust Agrobacterium Stoffe ein.
Vektor (-DNA),"Plasmide, Transport"
Plasmide fkt,"Ringförmige DNA-Moleküle, auf für Abwehr"
Selektion transgener Zellen wieso,Weil Erfolgsquote des Einschleusen nicht sehr gut
Antibiotika-Resistenz-Test,Vektor mit Amphicilin und Tetracilin-Resistenzgen; in Vektor Fremd-DNA eingebaut (Fremd-->Tetracilin-Teil rausgeschnitten); Amphiclin; dann Amphicilien+Tetracylin Lösung für Aussortierung
Biotechnik,technische Nutzung biologischer Fähigkeiten
Gentechnik,Veränderung Erbinformation
Reproduktionstechnik,Manipulation von Reproduktionsvorgängen
Insulin Wie hergestellt,"Isolierung des Insulins von menschlicher Bauchspeicheldrüse, Vektor ist Bakterienplasmid, Kombination durch RE und Ligase, Selektion, Vermehrung, Isolation, Reinigung"
Gel-Elektrophorese,"Auftrennung von Bruchstücken nach Länge in elektrischen Feld, --> Banden (Färbung)"
DNA-Sequenzanalyse,"DNA Stränge denaturalisieren, 4 Reagenzgläser, je ein Typ ddNTP, bei Synthese Abbruch bei Einbau von ddNTP, Aufteilung nach Gel-Elektrophorese"
Fluoreszenzsequenzierung,Für jede Base eigener Flureszenzfarbstoff; automatische Fluoreszenzierung
genetischer Fingerabdruck,"Merkmale der DNA, die für ein Individuum charakteristisch sind"
SNP,Punktmutationen in DNAs
RFLP,"Restriktionsfragment-Längenpolymorphismen, SNPs, die innerhalb der Erkennungssequenz liegen"
VNTRs,Variable Number Tandem Repeats: Wiederholte DNA-Sequenzen
STR,Short Tandem Repeats: Kurze VNTR.
Genchip,Zur Analyse von DNA
Transgene Pflanze Bsp,Transgene Sojabohnen
Pro Sojabohnen,proteinreich und billig.
Kontro Sojabohnen,"Wälder abgeholzt; Grosse Unternehmen dominieren, vertreiben Bauern; Monsanto: Abhängig von Pestiziden; "
Transgenes Tier Bsp,Gen-Lachs: Aus Paarung zweier Fische gemacht.
Gen-Lachs Pro,Wächst schneller
Gen-Lachs Kontra,"ethische Gründe, schmerzen für Tiere; gv-Tiere mit wilden Tieren kreuzen; "
