Dichteanomalie des Wassers,4 Grad Celsius am Dichtestens
Dreischichter Aufbau bei allen Biomembranen,--> Elementarmembran
Selektiv permeabel,"gleich semipermeabel, lässt bestimmte Stoffe durch oder hält diese zurück."
Material Biomembrane,Lipide und Proteine
Aufbau Lipidmolekül,Lipophiler und Hydrophiler Teil
Plasmalemma,"Membran, die das Zellplasma begrenzt. = Zellmembran"
Glykokalyx,"Extrazelluläre Schicht des Plasmalemma, die Glykolipide und Glykoproteine enthält."
Plasmolyse,Zellen schrumpfen; das Cytoplasma wird rausgesogen.
Deplasmolyse,"Zellen wachsen, die Flüssigkeit wird in die Zellen reingedrückt."
Turgor,Druck gegen Zellwände
Brownsche Bewegung,Temperaturabhängige Eigenbewegung der Teilchen
Brownsche Bewegung Bedeutung,Diese Eigenbewegung bewirkt die Eigenverteilung der Stoffe bis zum Konzentrationsausgleich --> Diffusion
Diffusion,Diese Eigenbewegung bewirkt die Eigenverteilung der Stoffe bis zum Konzentrationsausgleich 
Permeation,Diffusion durch Grenzschichten
Osmose,Permeation durch selektiv permeable Membran
osmotischer Druck,"Wassermoleküle diffundeieren Richtung Salzlösung, um einen Konzentrationsausgleich zu erlangen"
osmotischer Wert,Konzentration an gelösten Stoffen innerhalb der Zelle
"isotonisch, hypertonisch, hypotonisch",Konzentration ausserhalb der Zelle [entspricht / ist höher / ist tiefer] als in der Zelle.
"einfache Diffusion, passiver Transport",Wassermoleküle diffundieren durch Lipid-Doppelschicht-Membran
5 Transportmöglichkeiten durch Zellmembran,"einfache Diffusion, tunnelvermittelte Diffusion, carriervermittelte Diffusion, aktiver Transport"
Tunnel-Bildende Proteine,"gleich erleichterte Diffusion, Innenwände Bildende Proteine, die Moleküle und gelöste Ionen bestimmter Grösse passieren lassen"
Carrier,"gleich erleichterte Diffusion, Transportproteine binden kurzfristig den zu Transportierenden Stoff, spezifische Bindungsstellen"
aktiver Transport,"Carrier, die entgegen dem Konzentrationsgefälle Substrate transportieren können. Bsp Natrium-Kalium-Pumpe"
primärer aktiver Transport,Binden und Freisetzen des Substrate
sekundärer aktiver Transport,Zurückströmen der Ionen das zu transportierende Substrat eingesetzt.
Endocytose,"Aufnahme von Stoffen über Endosome. Zellmembran stülpt sich an einer Stelle so weit ein, bis der Stoff umschlossen ist. Zb Proteine und Polysaccharide in Zelle transportiert."
Phagocytose,Endocytose von Festteilchen
Pinocytose,Endocytose von Flüssigteilchen
Exocytose,Abgabe von Stoffen
primäres Lyosom,"Aus Golgi-Vesikeln gebildet und enthält Verdauungsenzyme, fusioniert (Membranfluss) mit sekundären Lyosom"
sekundäres Lyosom,Partikel werden verdaut und ausgeschieden durch Exocytose
rezeptorenvermittelte Endocytose,"selektive Aufnahme von Makromolekülen mittels Rezeptorproteine,"
