Fotosynthese Gleichung,6 CO2 + H2O -> C6H12O6 + 6 O2
Biomasse,"Zucker, Holz, Fette, Eiweisse"
sichtbares Licht,400-700nm
Glucose,Traubenzucker
Chlorophyll,Farbstoff in Chloroplast
Fotosynthese Umweltfaktoren,"Licht, Temperatur (mit Optimum), CO2-Gehalt"
Lichtkompensationspunkt,"Lichtintensität, wo die Pflanze gleich viel CO2 wie O2 abgibt"
Absorptionsspektren Licht Fotosynthese,Präferieren Blaues und Rotes Licht. --> Grüne Farbe absorbiert blaues und rotes Licht
Blattfarbstoffe,"Chlorophyll, β-Carotin"
Thylakoid,Innenraum des Chloroplasten
Grana,Gestapelte Thylakoide
Stroma,Zwischenbereiche zwischen den Grana
Fotosysteme im Chloroplasten,I und II
LHC,"Antennenkomplexe, Light Harvestic Complex; von dem wird energie weitergeleitet"
"P700, P680","Lichtsystem I, absorbiert 700nm-Licht, Lichtsystem II, absorbiert 680nm-Licht"
Primärprozesse,"lichtabhängige Prozesse; fotochemischer Teil, Lichtenergie --> chemische Energie"
Sekundärprozesse,"lichtunabhängige Prozesse, biochemischer Teil, der RGT-Regel unterliegend"
Zusammenfassung Primärprozesse,"Lichtenergie in chemische Energie, in Thylakoidmembran Fotosysteme I und II (P700 und P680); Abgabe ATP und NADPH + H+ and Sekundärprozess; Freisetzung O2"
Zusammenfassung Sekundärprozesse,"Reduktion von Kohlenstoffdioxid CO2 zu Kohlenhydraten (CH2)n (=Zucker); Verbrauch ATP und NADPH + H+, Abgabe ADP und NADP+ an Primärprozess"
Motoren der Fotosynthese,Anregung von P680 und P700 (FS II + I).
Cytochrom-bf-Komplex Fkt,"Redoxsystem, das 1) Elektronen von P680 zu P700 transportiert; 2) Durch passieren der angeregten Elektronen ATP-Synthase ermöglicht."
Redoxsystem,"Protein, das ständig zwischen oxidierten und reduziertem Zustand wechselt."
Fotophosphorylierung,"Energie der Protonen, die durch Cytochrom-bf-Komplex von P680 zu P700 transportiert wird, wird zur ATP-Synthase verwendet."
Protonengradient,ungleiches Protonengradient: Innerhalb und ausserhalb der Membran
Fotolyse Fkt,Zerlegung des Wassers: 2 H20 --> O2 + 4 H+; Wird durch angeregtes P680 gespalten.
Ferredoxin,"Eisenhaltiges Enzym; nimmt Elektronen von P700 auf, leitet es weiter an die NADP-Reduktase"
NADP-Reduktase fkt,"Führt H+ und elektronen wieder zusammen: Cosubstart NADP+ nimmt elektronen und Protonen auf, entsteht NADPH + H+"
Ergebnisse Primärprozess,ATP und NADPH + H+ --> Weiter an sekundärprozess; O2 Abgabe. :)
Wo Sekundärprozess,Stroma und Chloroplast
Fixierung von CO2,Bindung CO2 and C5-Körper
Reduktion,Durch ATP-->ADP und NADPH + H+ --> NADP+ 6 CO2-Moeküle für Synthetisierung von Glucose (C6-Körper)
Rückbildung des Akkzeptors,Durch ATP-->ADP und NADPH + H+ --> NADP+ die instabilen Moleküle resynthesiert zu Akzeptoren (C5-Körper)
Ergebnisse Sekundärprozess,"Glucose, CO2 Synthetisiert."
Weiterverarbeitung:,"Glucose --> Stärke... Fette, Proteine, Farbstoffe, Giftstoffe, Harze"
Abbau Stärke,--> Disaccharose
Zellatmung,"aerober Abbau, ADP-->ATP"
Betriebsstoffwechsel,"Fette, Proteine --> Glucose --> (ADP --> ATP) --> ENERGY."
