Hornhaut fkt,Durch Wölbung wirkt als Sammellinse
Vordere Augenkammer mit Wasser,Zusammen mit Hornhaut als Sammelllinsee
Linse,"Bricht das Licht so, dass ein scharfes Bild entsteht"
Ciliarmuskel,Stellen die Linse ein
Regenbogenhaut=Iris,Lässt mehr oder weniger Licht durch
Glaskörper,Formerhaltung des Auges
Netzhaut,Hell-Dunkel mit Stäbchen und Farbensehen mit Zäpfchen
Pigmentschicht,Schutz gegen Reflexionen im Auge
Aderhaut,Ernährt Auge
Weisse Aderhaut,Gibt dem Auge die Form
Blinder Fleck,"Keine Nerven, Dort gehen Nervenfasern raus"
Sehnerv,Weiterleitung ans Gehirn
Gelber Fleck ,"Ort mit am Meisten Sehnerven, schärfste Abbildung"
Augenbindehaut,Verbindet Augenapfel mit Gesichtshaut
Augenmuskeln,Stelllen die Auge ein
Fettpolster,Weiche Lage des Auges
Tränendrüsen,Bewässerung des Auges
Stäbchen Farbstoff,Sehpurpur = Rhodopsin
Zäpfchen Farbstoffe,"cis-Retinal (für wenig Licht), trans-Retinal (für viel Licht)"
Fototransduktion,Umsetzung Lichtreize in bioelektrische Signale: Guanosinmonosphat aktiviert und Hyperoplarisation
Adaption des Augen,Irisblende
Myopie,Kurzsichtigkeit; Auge ist relative zur Brechkraft zu lang (kurzsicht --> lang)
Hyperopie,"Weitsichtigkeit, Auge ist relativ zur Brechkraft zu kurz (langsicht --> kurz)"
Akkommodation Auge,Anpassung an Weite. Linse durch Ciliarmuskel verändert
Alterssichtigkeit,Elastizität der Linse nicht mehr gut
