Rezeptorzellen,"Sinneszellen, die auf ädequate Reizart ansprechen. Wandel Informationen aus Umwelt in Signale um"
Zwei Arten Nervenzellen,"afferent, efferent"
afferent,sensorische Nervenzellen: Leiten Signale an Gehirn weiter
efferent,motorische Nervenzellen: Leiten Signale von Gehirn an Muskeln.
"Gliazellen, Fkt",Bindegewebszellen; Stütz- und Hüllfunktion; Stoffwechsel der Nerven
Nervensystem Def,Nervenzellen + Gliazellen
Soma Fkt,Zellkörper der Nervenzelle
Dendriten Ftk,Aufnahme von Signalen
Axon=Neurit Fkt,Länge der Nervenzelle
Schwannschen Zelle,"Gliazelle, die eine Nervenzelle umgeben"
Synapsen Fkt,"Endknöpfchen, docken bei weiteren Nervenzellen oder Muskeln an."
Myelin,Hülle um Nervenzelle
Markscheide,"Myelinscheide, um Nervenzellen"
Ranviersche Schnürringe,Platz zwischen Markscheide und Axon
Strickleiternervensystem,"Zwei Hauptnervenstränge + Querverbände, zb Plattwürmer"
Zentralnervensystem,Ganglien bilden räumlich und funktional eine Einheit
Ganglien,Ansammlung von Nervenzellen
Mensch ZNS,Gehirn + Rückenmark
Mensch peripheres NS,"Nervenzellen, die Informationsfluss zu ZNS verbinden"
weisse Substanz: Rückenmark Fkt,efferente und afferente Bahnen laufen hierdurch
graue Substanz: Rückenmark Fkt,"Durch Spinalganglion werden von Sinneszellen geleitete Signale in gr Substanz weitergeleitet, Hintere Wurzel sendet motorische Signale zurück."
Alles oder nichts Prinzip,"Wird ein Schwellenwert überschritten, so folgt die Reaktion in voller Stärke"
Ruhepotenzial,"Spannung zwischen Aussen und innen, wenn aussen 0mV, dann innen -70mV"
Diffusionspotenzial,"Überschuss an positiver Ladung auf einer Seite der Membran, diffundieren."
Membranpotenzial,Postive und Negative Ladungen sind von einer Membran getrennt
K+ Sickerkanäle,"Es können K+ Ionen frei diffundieren, doch Na+ Teilchen bleiben ausserhalb"
Ionenkanäle,"Zur Auferhaltung dass K+ Ionen frei diffundieren können, aber Na+ Teilchen nicht"
Natrium-Kalium-Pumpe Fkt,"Na+ Ionen aus intrazellulärem Raum raushalten, zur Aufrechterhaltung des Ruhepotenzials"
"Hyperpolarisation, Depolarisation","Spannung ist unter, über des Ruhepotentials"
Schwellenpotenzial,"Falls Schwellenpotenzial erreicht, gibt es ein Aktionspotenzial mit Überschuss"
Grund für AP mit Überschuss,Ab Schwellenpotenzial öffnen sich spannungsgesteuerte Natrium-Ionen Kanäle --> Natriumionen stürmen in Zelle herein. Nach 1ms wieder geschlossen
Refraktärzeit,Direkt nach Auslösen des AP kann das Neuron keine weiteren APs erstellen (nach 1ms)
Restore Ruhepotenzial nach AP m Überschuss,Durch Na K Pumpe
3 Potenziale,"Ruhepotenzial, Aktionspotenzial, Nachpotenzial"
Marklose Fasern Informationsübertragung,Ausgleichsströme
Markhaltige Fasern Informationsübertragung,Ranvierrsche Schnürring zu Schnürring
Synapse Informationsübertragung,"Durch chem. Transmitterstoffe, AP nicht weitergeleitet"
exzitatorische Synapse,Erregende Neurotransmitter
inhibitorische Synapse,Hemmede Neurotransmitter
Transmitter,Chemische Botenstoffe in synaptsichen Spalt
Gehirn: Schützende Schichten,[Tiefe] Weiche Hirnhaut > Spinngewebshaut > harte Hirnhaut > Schädel
Grosshirn Fkt,"Gedächtnis, Sinnesleistung, Befehle an Muskeln"
graue Substanz: Gehirn Fkt,"Oberfläche, Neuronen angebracht"
weisse Substanz: Gehirn Fkt,"Inneres, Axone"
Balken,Verbindet die Hemisphären
limbisches System,"Bewusstsein, Emotionen"
Zwischenhirn: Welche Teile,"Epithalamus, Epiphyse, Hypothalamus, Hypophyse"
Zwischenhirn Fkt,"Umschaltstelle Nervenbahnen, Koordination wie Schlafen, Atmung, Kreislauf, Sexualität"
Mittelhirn Fkt,Informationen aus Sinnen
Kleinhirn Fkt,Bewegungsabläufe
Nachhirn,"auch verlängertes Mark, Reflexe, Grundrhytmus für ein und ausatmen"
Plastizität,Bestimmte Aufgaben einer Gehirnregion können durch eine andere übernommen werden
sensorische Felder,"Gehirnregionen, die Informationen aufnehmen, die von Sinnesorganen kommen"
motorische Felder,"Gehirnregionen, die Befehle an Muskeln weitergeben"
Assoziationsfelder,Verknüpfen Informationen
"Wernicke-, Broca-Bereich","Beim Bennen eines Gegenstandes: Wernicke: Wortfindung, Broca: Aussprache der Wörter."
Endrophine,Lindern Schmerzempfindung durch Ausschüttung von hemmenden Neurotransmittern
Cortex,Rindenfeld des Gehirns
Asymmetrie Hemisphären,Hemisphären sind für die Gegenüberliegende Körperhälfte zuständig
linke Hemisphäre Fkt,"Umwelt gerichtet, aktiv"
rechte Hemisphäre Fkt,"Vergleichen, Zusammenfassen, Betrachten"
Lateralisierung,Nicht-Vernetzt-Sein der Hemisphären
